Name,N,Path
Basophil count,408112,/gpfs/space/GI/eQTLGen/public_data/vuckovic_2020_blood_cell_traits/gwas_catalog/32888494-GCST90002379-EFO_0005090.h.tsv.gz
Eosinophil counts,408112,/gpfs/space/GI/eQTLGen/public_data/vuckovic_2020_blood_cell_traits/gwas_catalog/32888494-GCST90002381-EFO_0004842.h.tsv.gz
High light scatter reticulocyte count,408112,/gpfs/space/GI/eQTLGen/public_data/vuckovic_2020_blood_cell_traits/gwas_catalog/32888494-GCST90002385-EFO_0007986.h.tsv.gz
Lymphocyte count,408112,/gpfs/space/GI/eQTLGen/public_data/vuckovic_2020_blood_cell_traits/gwas_catalog/32888494-GCST90002388-EFO_0004587.h.tsv.gz
Neutrophil count,408112,/gpfs/space/GI/eQTLGen/public_data/vuckovic_2020_blood_cell_traits/gwas_catalog/32888494-GCST90002398-EFO_0004833.h.tsv.gz
Platelet count,408112,/gpfs/space/GI/eQTLGen/public_data/vuckovic_2020_blood_cell_traits/gwas_catalog/32888494-GCST90002402-EFO_0004309.h.tsv.gz
Red blood cell count,408112,/gpfs/space/GI/eQTLGen/public_data/vuckovic_2020_blood_cell_traits/gwas_catalog/32888494-GCST90002403-EFO_0004305.h.tsv.gz
Reticulocyte count,408112,/gpfs/space/GI/eQTLGen/public_data/vuckovic_2020_blood_cell_traits/gwas_catalog/32888494-GCST90002405-EFO_0007986.h.tsv.gz
White blood cell count,408112,/gpfs/space/GI/eQTLGen/public_data/vuckovic_2020_blood_cell_traits/gwas_catalog/32888494-GCST90002407-EFO_0004308.h.tsv.gz
